username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
artshari,4,16,24,1,0,201,594,64,11979,5,2009,0
ArwanImam,2,14,2,1,0,25,67,98,24,4,2019,0
arwidodo,6,10,80,0,0,29739,2722,61,37525,6,2010,0
Asep_Ebiet69,6,1,4,0,0,73,410,1415,1805,9,2017,0
Asep_k_matrix,7,9,23,1,0,1359,1819,176,18712,10,2009,0
asepapit,7,14,9,1,0,3017,1904,57720,135124,2,2014,0
AsepWitoko,4,15,17,1,0,1529,617,44652,25781,2,2012,0
asrmiriz,4,15,16,1,0,189,497,6788,22203,1,2010,0
Astuty64,2,14,10,1,0,6937,3361,64473,53607,3,2016,0
Athar69046912,5,14,11,1,0,1920,1332,13243,10259,8,2018,0
atjep_gamis,7,2,8,0,0,136,557,2209,2110,1,2014,0
AufaAdzkia,1,14,2,0,0,82,714,2460,2583,5,2013,0
aufadirgahayu,4,2,5,0,0,830,861,1120,8893,2,2011,0
aulia2199,6,14,3,0,0,112,25,55,124997,9,2017,0
AW_danker,7,9,13,1,0,74,459,3331,1838,2,2018,0
ayahe_oza,3,13,5,1,0,82,613,2934,3652,12,2009,0
Ayambakarsarwa1,4,11,8,1,0,354,461,5534,2884,2,2019,0
AyatMamas,1,13,37,1,0,707,679,27856,9638,7,2014,0
azula_buzt,1,12,8,1,0,403,675,2261,4449,6,2009,0
azzamputra,7,9,34,1,0,259,832,16341,21289,6,2011,0
babibugill,5,15,23,0,0,8,294,30,1687,3,2019,0
BackSayur,1,14,30,0,0,336,1214,16337,6395,3,2019,0
BadjaNuswantara,6,14,14,1,0,28641,4351,194587,97919,6,2014,0
bagio_smi,1,10,6,1,0,437,1233,1284,27640,2,2012,0
bali_baim,4,11,9,1,0,221,311,4500,2578,1,2019,0
bamban9_dyp,1,1,8,1,0,163,134,205,1120,6,2009,0
BatipuahSurya,3,15,11,1,0,343,912,2893,3820,7,2014,0
Bayu7379,7,2,192,0,0,101,257,4861,4077,8,2018,0
bbgkris,7,10,14,0,0,462,478,6261,9017,1,2013,0
beresiko_,4,18,2,0,0,276,229,61,17437,2,2010,0
BitPoen,5,1,9,1,0,435,465,15140,5174,2,2019,0
Boeluxs1,5,2,25,0,0,135,297,26385,23814,11,2013,0
brandalsantri45,6,14,34,0,0,8580,4451,96380,25419,3,2015,0
budimandjatmiko,7,11,7,1,0,721163,1422,922,198332,8,2010,0
bundaerofi,7,10,18,1,0,256,260,3194,8335,7,2013,0
BurRonggo,7,16,10,1,0,224,482,13607,7735,2,2018,0
Cahkuwut,4,20,32,1,0,41,123,8300,8267,2,2019,0
Cahtega13627050,4,16,6,0,0,341,2048,12428,6759,2,2019,0
CakSiblon,5,14,80,1,0,198,411,304,4415,7,2014,0
Cakwaras1,1,14,5,0,0,35,176,46,483,1,2019,0
chaidar_2000,6,20,43,1,0,3065,2413,128820,139563,2,2013,0
CharlieCin,5,7,22,0,0,270,515,19510,24957,4,2014,0
Chondrezz1,7,1,5,0,0,12,637,20,472,11,2018,0
Christofel_ID,3,14,24,1,0,1271,2940,17893,64669,10,2009,0
cowongacengan,5,11,8,1,0,151,1006,27293,31835,5,2016,0
Cruxer2,4,1,39,1,0,212,346,4007,4115,4,2019,0
